video_filename,site,array_size,distribution,number_reward,bout,flowerID,visit_order,visit_type,NOTES,,
20210624_2054,SPNC,5x4,uniform,20,111,7,1,,,,
20210624_2054,SPNC,5x4,uniform,20,111,12,2,,,,
20210624_2054,SPNC,5x4,uniform,20,111,11,3,,,,
20210624_2054,SPNC,5x4,uniform,20,111,17,4,,,,
20210624_2054,SPNC,5x4,uniform,20,111,18,5,,,,
20210624_2054,SPNC,5x4,uniform,20,111,17,6,,,,
20210624_2054,SPNC,5x4,uniform,20,111,18,7,,,,
20210624_2054,SPNC,5x4,uniform,20,111,19,8,,,,
20210624_2054,SPNC,5x4,uniform,20,111,20,9,,,,
20210624_2054,SPNC,5x4,uniform,20,111,15,10,,,,
20210624_2054,SPNC,5x4,uniform,20,111,11,11,,,,
20210624_2054,SPNC,5x4,uniform,20,111,16,12,,,,
20210624_2054,SPNC,5x4,uniform,20,111,3,13,,,,
20210624_2054,SPNC,5x4,uniform,20,111,1,14,,,,
20210624_2054,SPNC,5x4,uniform,20,111,7,15,,,,
20210624_2054,SPNC,5x4,uniform,20,111,14,16,,,,
20210624_2054,SPNC,5x4,uniform,20,111,16,17,,,,
20210624_2057,SPNC,5x4,uniform,20,112,10,1,,,,
20210624_2057,SPNC,5x4,uniform,20,112,15,2,,,,
20210624_2057,SPNC,5x4,uniform,20,112,14,3,,,,
20210624_2057,SPNC,5x4,uniform,20,112,12,4,,,,
20210624_2057,SPNC,5x4,uniform,20,112,11,5,,,,
20210624_2057,SPNC,5x4,uniform,20,112,6,6,,,,
20210624_2057,SPNC,5x4,uniform,20,112,1,7,,,,
20210624_2057,SPNC,5x4,uniform,20,112,2,8,,,,
20210624_2057,SPNC,5x4,uniform,20,112,3,9,,,,
20210624_2057,SPNC,5x4,uniform,20,112,4,10,,,,
20210624_2057,SPNC,5x4,uniform,20,112,3,11,,,,
20210624_2057,SPNC,5x4,uniform,20,112,2,12,,,,
20210624_2057,SPNC,5x4,uniform,20,112,6,13,,,,
20210624_2057,SPNC,5x4,uniform,20,112,11,14,,,,
20210624_2100,SPNC,5x4,uniform,20,113,15,1,,,,
20210624_2100,SPNC,5x4,uniform,20,113,14,2,,,,
20210624_2100,SPNC,5x4,uniform,20,113,13,3,,,,
20210624_2100,SPNC,5x4,uniform,20,113,11,4,,,,
20210624_2100,SPNC,5x4,uniform,20,113,6,5,,,,
20210624_2100,SPNC,5x4,uniform,20,113,9,6,,,,
20210624_2100,SPNC,5x4,uniform,20,113,8,7,,,,
20210624_2100,SPNC,5x4,uniform,20,113,1,8,,,,
20210624_2100,SPNC,5x4,uniform,20,113,2,9,,,,
20210624_2100,SPNC,5x4,uniform,20,113,3,10,,,,
20210624_2100,SPNC,5x4,uniform,20,113,2,11,,,,
20210624_2100,SPNC,5x4,uniform,20,113,1,12,,,,
20210624_2100,SPNC,5x4,uniform,20,113,6,13,,,,
20210624_2100,SPNC,5x4,uniform,20,113,12,14,,,,
20210624_2100,SPNC,5x4,uniform,20,113,14,15,,,,
20210624_2100,SPNC,5x4,uniform,20,113,3,16,,,,
20210624_2100,SPNC,5x4,uniform,20,113,4,17,,,,
20210624_2100,SPNC,5x4,uniform,20,113,5,18,,,,
20210624_2100,SPNC,5x4,uniform,20,113,9,19,,,,
20210624_2100,SPNC,5x4,uniform,20,113,2,20,,,,
20210624_2100,SPNC,5x4,uniform,20,113,1,21,,,,
20210624_2100,SPNC,5x4,uniform,20,113,6,22,,,,
20210624_2100,SPNC,5x4,uniform,20,113,7,23,,,,
20210624_2100,SPNC,5x4,uniform,20,113,3,24,,,,
20210624_2100,SPNC,5x4,uniform,20,113,9,25,,,,
20210624_2100,SPNC,5x4,uniform,20,113,1,26,,,,
20210624_2100,SPNC,5x4,uniform,20,113,6,27,,,,
20210624_2100,SPNC,5x4,uniform,20,113,11,28,,,,
20210624_2100,SPNC,5x4,uniform,20,113,13,29,,,,
20210625_0854,SPNC,5x4,uniform,20,114,20,1,,,,
20210625_0854,SPNC,5x4,uniform,20,114,15,2,,,,
20210625_0916,SPNC,5x4,uniform,20,115,9,1,,,,
20210625_0916,SPNC,5x4,uniform,20,115,8,2,,,,
20210625_0930,SPNC,5x4,uniform,20,116,15,1,,,,
20210625_0946,SPNC,5x4,uniform,20,117,9,1,,,,
20210625_0951,SPNC,5x4,uniform,20,118,10,1,,,,
20210625_0951,SPNC,5x4,uniform,20,118,9,2,,,,
20210625_0951,SPNC,5x4,uniform,20,118,4,3,,,,
20210625_1012,SPNC,5x4,uniform,20,119,4,1,,,,
20210625_1021,SPNC,5x4,uniform,20,120,15,1,,,,
20210628_0941_2-8-10-15,SPNC,4x4,random,4,1,16,1,,,,
